"CUT","SEQ","BUNDLE","BUNDLEX","BUNCUT","STYLE","COLOR","ROOMNUMBER","WEIGHT","WIDTH","SIZE","QUANTITY","FIRSTTK","LASTTK","SHADE","STATUS","BUNDPRINTE","BOXDATE","BOX","FWIDTH","FLENGTH","ADFABRIC","FORMULA1","XTRA1","XTRA2","RS","FULLN","PNL","RTN","RPT","OC","cut.dbc","","","","","","",""
"108732","2","1918","NaN","26","CSLG06","BLACK","","NaN","","SD","11","3220","3233","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1919","NaN","27","CSLG06","BLACK","","NaN","","SD","11","3234","3247","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1920","NaN","28","CSLG06","BLACK","","NaN","","SD","11","3248","3261","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1921","NaN","29","CSLG06","BLACK","","NaN","","SD","11","3262","3275","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1922","NaN","30","CSLG06","BLACK","","NaN","","SD","11","3276","3289","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1923","NaN","31","CSLG06","BLACK","","NaN","","SE","11","3290","3303","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1924","NaN","32","CSLG06","BLACK","","NaN","","SE","11","3304","3317","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1925","NaN","33","CSLG06","BLACK","","NaN","","SE","11","3318","3331","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1926","NaN","34","CSLG06","BLACK","","NaN","","SE","11","3332","3345","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1927","NaN","35","CSLG06","BLACK","","NaN","","SE","11","3346","3359","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1928","NaN","36","CSLG06","BLACK","","NaN","","SE","11","3360","3373","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1929","NaN","37","CSLG06","BLACK","","NaN","","SF","10","3374","3387","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1930","NaN","38","CSLG06","BLACK","","NaN","","SF","10","3388","3401","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1931","NaN","39","CSLG06","BLACK","","NaN","","SF","10","3402","3415","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1932","NaN","40","CSLG06","BLACK","","NaN","","SF","10","3416","3429","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1933","NaN","41","CSLG06","BLACK","","NaN","","SF","10","3430","3443","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
